Index,ID,RUN,Trial,PreRT,PostRT,Fate,Acc_coded,Source_Acc_coded,Hit_Acc_coded,Stimuli,Location,Category,RET_RT,Order_Session,PreITI1duration,PostITI1duration
3528,52342,2,RUN2-4,549,243,Source hit,1,1,1,Stimuli\schoolbus.jpg,Right,Vehicle,865,4,2000,6000
3529,52342,2,RUN2-5,243,291,Source hit,1,1,1,Stimuli\bracelet04.jpg,Right,Decorations & Gift,1215,4,6000,4000
3530,52342,2,RUN2-6,291,302,Source hit,1,1,1,Stimuli\sricornhat.jpg,Right,Clothing,1662,4,4000,4000
3531,52342,2,RUN2-7,302,765,Source hit,1,1,1,Stimuli\doublebass.jpg,Left,Musical instrument,1156,4,4000,2000
3532,52342,2,RUN2-8,765,642,Source hit,1,1,1,Stimuli\footballhelmet.jpg,Right,Outdoor & sport,1273,4,2000,2000
3533,52342,2,RUN2-9,642,523,Source hit,1,1,1,Stimuli\mango01.jpg,Left,Food,1172,4,2000,2000
3534,52342,2,RUN2-10,523,509,Source hit,1,1,1,Stimuli\exercisebench.jpg,Left,Outdoor & sport,1366,4,2000,4000
3535,52342,2,RUN2-11,509,411,Source hit,1,1,1,Stimuli\jewelrybox01b.jpg,Left,Decorations & Gift,1350,4,4000,2000
3536,52342,2,RUN2-12,411,938,Source hit,1,1,1,Stimuli\scrubbingbrush05b.jpg,Left,Household article,1672,4,2000,2000
3537,52342,2,RUN2-13,938,277,Source hit,1,1,1,Stimuli\shumbtack02a.jpg,Right,Stationary,1494,4,2000,4000
3538,52342,2,RUN2-14,277,318,Source hit,1,1,1,Stimuli\srafficlight.jpg,Left,Building infrastructure,1064,4,4000,4000
3539,52342,2,RUN2-15,318,320,Source hit,1,1,1,Stimuli\mug05.jpg,Right,Kitchen,2199,4,4000,4000
3540,52342,2,RUN2-16,320,258,Source hit,1,1,1,Stimuli\cola.jpg,Right,Food,820,4,4000,4000
3541,52342,2,RUN2-17,258,406,Source hit,1,1,1,Stimuli\battery02b.jpg,Left,Electronics,777,4,4000,4000
3542,52342,2,RUN2-18,406,856,Source hit,1,1,1,Stimuli\fence02.jpg,Right,Building infrastructure,964,4,4000,6000
3543,52342,2,RUN2-19,856,339,Source hit,1,1,1,Stimuli\saxisign.jpg,Left,Vehicle,1695,4,6000,4000
3544,52342,2,RUN2-20,339,514,Source hit,1,1,1,Stimuli\chessboard.jpg,Left,Game & entertainment,829,4,4000,2000
3545,52342,2,RUN2-21,514,240,Source hit,1,1,1,Stimuli\wallet02a.jpg,Left,Clothing,1290,4,2000,6000
3546,52342,2,RUN2-22,240,442,Source hit,1,1,1,Stimuli\jesusstatue.jpg,Right,Decorations & Gift,1054,4,6000,2000
3547,52342,2,RUN2-23,442,307,Source hit,1,1,1,Stimuli\petcarrier.jpg,Right,Household article,1701,4,2000,4000
3548,52342,2,RUN2-24,307,240,Source hit,1,1,1,Stimuli\mug01.jpg,Right,Kitchen,893,4,4000,6000
3549,52342,2,RUN2-25,240,491,Source hit,1,1,1,Stimuli\crosscountryski.jpg,Left,Outdoor & sport,1011,4,6000,2000
3550,52342,2,RUN2-26,491,346,Source hit,1,1,1,Stimuli\belt02a.jpg,Right,Clothing,678,4,2000,2000
3551,52342,2,RUN2-27,346,458,Source hit,1,1,1,Stimuli\electricoutlet.jpg,Right,Electronics,1516,4,2000,2000
3552,52342,2,RUN2-28,458,407,Source hit,1,1,1,Stimuli\fountainpen.jpg,Left,Stationary,1147,4,2000,2000
3553,52342,2,RUN2-29,407,240,Source hit,1,1,1,Stimuli\windshieldwasherfluid.jpg,Right,Household article,1069,4,2000,6000
3554,52342,2,RUN2-30,240,242,Source hit,1,1,1,Stimuli\cakeplatter.jpg,Left,Kitchen,1658,4,6000,6000
3555,52342,2,RUN2-31,242,239,Source hit,1,1,1,Stimuli\pitcher02b.jpg,Left,Kitchen,1467,4,6000,6000
3556,52342,2,RUN2-32,239,360,miss,4,0,0,Stimuli\cigar.jpg,Right,Game & entertainment,1778,4,6000,4000
3557,52342,2,RUN2-33,360,315,Source hit,1,1,1,Stimuli\worldmap.jpg,Left,Stationary,1026,4,4000,4000
3558,52342,2,RUN2-34,315,455,Source hit,1,1,1,Stimuli\electricdrumset.jpg,Right,Musical instrument,2118,4,4000,2000
3559,52342,2,RUN2-35,455,267,Source hit,1,1,1,Stimuli\coconut.jpg,Right,Food,1207,4,2000,6000
3560,52342,2,RUN2-36,267,343,Source hit,1,1,1,Stimuli\srophy01.jpg,Left,Decorations & Gift,1066,4,6000,4000
3561,52342,2,RUN2-37,343,441,Source miss,3,0,1,Stimuli\cigarette.jpg,Right,Game & entertainment,2068,4,4000,2000
3562,52342,2,RUN2-38,441,324,Source hit,1,1,1,Stimuli\wire.jpg,Left,Electronics,2449,4,2000,6000
3563,52342,2,RUN2-39,324,417,Source hit,1,1,1,Stimuli\windturbine.jpg,Left,Building infrastructure,1216,4,6000,6000
